,Taxon,X.1,X,site_code,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group
484,SONCHUS ASPER,5893,5893,scruzl.us,2,67,16.75,11,5.5,-56,-11.25,27.6,0.5875,NA,24.97389591,0.69,0.301036269,223.2180487,0.1419,FORB,ANNUAL,FORB
255,GALIUM APARINE,2169,2169,cowidrt.ca,2,5,1,2,1,-3,0,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,FORB,ANNUAL,FORB
388,PLANTAGO PATAGONICA,1494,1494,capwhite.us,2,0.8,0.16,0.5,0.125,-0.3,-0.035,16.75319,0.1524,NA,NA,0.1524,0.406666667,171.778132,0.173233333,FORB,ANNUAL,FORB
389,PLANTAGO PATAGONICA,6150,6150,spvdrt.ar,2,10,5,3,1.5,-7,-3.5,16.75319,0.1524,NA,NA,0.1524,0.406666667,171.778132,0.173233333,FORB,ANNUAL,FORB
298,HORDEUM PUSILLUM,4349,4349,marcdrt.ar,2,2,2,2,1,0,-1,NA,0.36576,NA,32.4,0.2032,0.278984039,157.1579379,0.1830875,GRASS,ANNUAL,GRASS
446,SALSOLA KALI,325,325,antelope.us,2,0.2,0.1,1.1,0.55,0.9,0.45,NA,NA,NA,10.84692732,NA,NA,19.34,0.183333333,FORB,ANNUAL,WOODY
360,PANICUM CAPILLARE,3941,3941,konzadrt.us,2,49,9.8,8,2.666666667,-41,-7.133333333,17.0314031,0.43545,NA,27.43942379,0.62,0.14,218,0.1917,GRASS,ANNUAL,GRASS
91,BROMUS HORDEACEUS,441,441,baddrt.de,2,8.1,2.025,0.2,0.2,-7.9,-1.825,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,NA,0.2,GRASS,ANNUAL,GRASS
92,BROMUS HORDEACEUS,5725,5725,scruzh.us,2,13,6.5,10,5,-3,-1.5,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,NA,0.2,GRASS,ANNUAL,GRASS
568,VICIA HIRSUTA,549,549,baddrt.de,2,13.4,2.233333333,3.1,1.033333333,-10.3,-1.2,NA,0.4375,NA,22.05714286,0.66,0.3375,87.90712843,0.2074,FORB,ANNUAL,LEGUME
569,VICIA HIRSUTA,2238,2238,cowidrt.ca,2,5,1,6,1.2,1,0.2,NA,0.4375,NA,22.05714286,0.66,0.3375,87.90712843,0.2074,FORB,ANNUAL,LEGUME
41,ARENARIA SERPYLLIFOLIA,3177,3177,jenadrt.de,2,3,1,1.5,0.75,-1.5,-0.25,12,0.075,13.275,23.7,0.21,0.067,NA,0.207422972,FORB,ANNUAL,FORB
14,AIRA CARYOPHYLLEA,4041,4041,lcsouth.cl,2,57,28.5,50,50,-7,21.5,19.9,0.155,NA,21.08,NA,NA,NA,0.21,GRASS,ANNUAL,GRASS
15,AIRA CARYOPHYLLEA,3994,3994,lcnorth.cl,2,125,41.66666667,12,6,-113,-35.66666667,19.9,0.155,NA,21.08,NA,NA,NA,0.21,GRASS,ANNUAL,GRASS
570,VICIA SATIVA,5898,5898,scruzl.us,2,20,20,1,1,-19,-19,32.1,0.7509,3.5,26.61714286,0.3048,0.430769231,60.47073255,0.222666667,FORB,ANNUAL,LEGUME
571,VICIA SATIVA,2242,2242,cowidrt.ca,2,5,1.25,7,1.75,2,0.5,32.1,0.7509,3.5,26.61714286,0.3048,0.430769231,60.47073255,0.222666667,FORB,ANNUAL,LEGUME
572,VICIA SATIVA,553,553,baddrt.de,2,73.6,12.26666667,2.2,0.733333333,-71.4,-11.53333333,32.1,0.7509,3.5,26.61714286,0.3048,0.430769231,60.47073255,0.222666667,FORB,ANNUAL,LEGUME
534,TRIFOLIUM DUBIUM,3334,3334,jenadrt.de,2,41,13.66666667,1.5,0.75,-39.5,-12.91666667,35.6,0.076,NA,30.39,0.3445,0.109,254.8747547,0.231187416,LEGUME,ANNUAL,LEGUME
219,ERIGERON ANNUUS,2742,2742,esw.ca,2,5,1.666666667,4,1.333333333,-1,-0.333333333,13.87251282,0.790891667,NA,23.37334387,1.02,0.32875817,62.7520477,0.25,FORB,ANNUAL,FORB
260,GALIUM MOLLUGO,5553,5553,rhijn.nl,2,137,22.83333333,41,13.66666667,-96,-9.166666667,29.6653889,0.57825,12.06782427,21.5515698,0.1688729,0.105319476,NA,0.264461111,FORB,ANNUAL,FORB
441,RUDBECKIA HIRTA,6072,6072,slp.us,2,24,8,3,1.5,-21,-6.5,28.33854,0.48345,21.64598,19.67108394,0.254,0.14325585,119.2626432,0.2691575,FORB,ANNUAL,FORB
442,RUDBECKIA HIRTA,831,831,bfl.us,2,3,3,2,1,-1,-2,28.33854,0.48345,21.64598,19.67108394,0.254,0.14325585,119.2626432,0.2691575,FORB,ANNUAL,FORB
523,THLASPI ARVENSE,3111,3111,hard.us,2,9,3,6,2,-3,-1,NA,0.423333333,NA,24.42761317,0.49,0.42845,105,0.2761525,FORB,ANNUAL,FORB
556,VENTENATA DUBIA,4995,4995,oreaa.us,2,75.5,15.1,72.5,14.5,-3,-0.6,NA,0.225,NA,20.5,NA,NA,NA,0.28,GRASS,ANNUAL,GRASS
557,VENTENATA DUBIA,5085,5085,oreac.us,2,41,20.5,23,5.75,-18,-14.75,NA,0.225,NA,20.5,NA,NA,NA,0.28,GRASS,ANNUAL,GRASS
158,COLLINSIA PARVIFLORA,4911,4911,oreaa.us,2,2.5,0.5,1.5,0.5,-1,0,NA,0.3048,NA,32.3,NA,NA,NA,0.28,FORB,ANNUAL,FORB
159,COLLINSIA PARVIFLORA,5028,5028,oreac.us,2,2.5,0.5,2.5,0.5,0,0,NA,0.3048,NA,32.3,NA,NA,NA,0.28,FORB,ANNUAL,FORB
575,VULPIA BROMOIDES,6174,6174,spvdrt.ar,2,2,1,2,1,0,0,NA,0.2225,NA,20.86,0.4995,NA,NA,0.2945,GRASS,ANNUAL,GRASS
221,ERIGERON CANADENSIS,474,474,baddrt.de,2,1.7,0.566666667,1.2,0.6,-0.5,0.033333333,27.5,0.676,NA,21.20435157,1.09,0.09,119,0.35,FORB,ANNUAL,FORB
21,AMBROSIA ARTEMISIIFOLIA,935,935,bivensarm.us,2,1.350000001,0.45,1.883333333,0.627777778,0.533333332,0.177777777,23.1,0.226,15.077975,21.45333609,1.22,0.08,135,0.36,FORB,ANNUAL,FORB
66,AVENA BARBATA,5833,5833,scruzl.us,2,23,4.6,36,9,13,4.4,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,GRASS,ANNUAL,GRASS
67,AVENA BARBATA,5707,5707,scruzh.us,2,9,4.5,3,3,-6,-1.5,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,GRASS,ANNUAL,GRASS
68,AVENA BARBATA,4566,4566,naposta.ar,2,140,46.66666667,60,20,-80,-26.66666667,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,GRASS,ANNUAL,GRASS
69,AVENA BARBATA,5910,5910,scruzm.us,2,235,47,345,69,110,22,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,GRASS,ANNUAL,GRASS
42,ARISTIDA HOLATHERA,2813,2813,ethadb.au,2,27,13.5,25,12.5,-2,-1,8.4875,0.7,2.975,NA,NA,NA,NA,0.375,GRASS,ANNUAL,GRASS
348,MEDICAGO MINIMA,2366,2366,credom.au,2,0.5,0.5,0.5,0.5,0,0,36.2,0.1701,NA,24.66638889,0.22,0.0815,211.5066667,0.3834,LEGUME,ANNUAL,LEGUME
94,BROMUS JAPONICUS,5021,5021,oreac.us,2,41.5,8.3,75.5,15.1,34,6.8,20.898,0.424044444,NA,19.31803729,NA,NA,NA,0.54,GRASS,ANNUAL,GRASS
95,BROMUS JAPONICUS,4907,4907,oreaa.us,2,2,0.5,1,0.5,-1,0,20.898,0.424044444,NA,19.31803729,NA,NA,NA,0.54,GRASS,ANNUAL,GRASS
101,BROMUS TECTORUM,3054,3054,hard.us,2,9,4.5,4,4,-5,-0.5,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,GRASS,ANNUAL,GRASS
102,BROMUS TECTORUM,4663,4663,nplatte.us,2,34,4.857142857,32,5.333333333,-2,0.476190476,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,GRASS,ANNUAL,GRASS
103,BROMUS TECTORUM,2120,2120,cowidrt.ca,2,6,3,15,7.5,9,4.5,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,GRASS,ANNUAL,GRASS
558,VERONICA ARVENSIS,3345,3345,jenadrt.de,2,1.5,0.5,1,0.5,-0.5,0,15,0.187777778,NA,21.00097059,0.19,NA,224.167,NA,FORB,ANNUAL,FORB
559,VERONICA ARVENSIS,2234,2234,cowidrt.ca,2,3,1,3,1,0,0,15,0.187777778,NA,21.00097059,0.19,NA,224.167,NA,FORB,ANNUAL,FORB
330,LINUM CATHARTICUM,94,94,allmendb.ch,2,5.5,1.833333333,3.25,1.083333333,-2.25,-0.75,20.2751018,0.184833333,NA,29.89038332,0.18,0.3081,160,NA,FORB,ANNUAL,FORB
331,LINUM CATHARTICUM,240,240,allmendo.ch,2,1.75,0.875,0.25,0.25,-1.5,-0.625,20.2751018,0.184833333,NA,29.89038332,0.18,0.3081,160,NA,FORB,ANNUAL,FORB
555,VALERIANELLA LOCUSTA,2230,2230,cowidrt.ca,2,16,3.2,21,5.25,5,2.05,26,0.1925,NA,31.7,0.05,0.56326,204,NA,FORB,ANNUAL,FORB
454,SCHISMUS BARBATUS,2944,2944,gmgranite.us,2,0.8,0.114285714,0.2,0.1,-0.6,-0.014285714,NA,0.25,NA,18.21,0.16,NA,81.47,NA,GRASS,ANNUAL,GRASS
455,SCHISMUS BARBATUS,6160,6160,spvdrt.ar,2,12,4,2,1,-10,-3,NA,0.25,NA,18.21,0.16,NA,81.47,NA,GRASS,ANNUAL,GRASS
209,EPILOBIUM BRACHYCARPUM,5048,5048,oreac.us,2,5,1,3.5,0.7,-1.5,-0.3,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,FORB,ANNUAL,FORB
210,EPILOBIUM BRACHYCARPUM,4930,4930,oreaa.us,2,2.5,0.5,5.5,1.1,3,0.6,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,FORB,ANNUAL,FORB
73,BOUTELOUA ARISTIDOIDES,1738,1738,cerrillos.ar,2,21.89,7.296666667,91.26,30.42,69.37,23.12333333,15.9,0.04,NA,12.89,0.3,NA,103.65,NA,GRASS,ANNUAL,GRASS
172,CREPIS CAPILLARIS,463,463,baddrt.de,2,4.2,0.7,2.7,0.9,-1.5,0.2,25.65,0.458333333,10.7,35.00023666,0.385,NA,138,NA,FORB,ANNUAL,FORB
134,CENTAUREA MELITENSIS,4006,4006,lcnorth.cl,2,53,26.5,1.5,0.5,-51.5,-26,NA,NA,NA,9.4,0.3,NA,145.36,NA,FORB,ANNUAL,FORB
40,APERA SPICA-VENTI,435,435,baddrt.de,2,6.6,1.1,0.6,0.3,-6,-0.8,NA,0.775,NA,19.13333333,0.66,NA,193.8,NA,GRASS,ANNUAL,GRASS
87,BROMUS DIANDRUS,5839,5839,scruzl.us,2,27,5.4,10,5,-17,-0.4,19.4,NA,NA,NA,NA,NA,238.8,NA,GRASS,ANNUAL,GRASS
88,BROMUS DIANDRUS,5926,5926,scruzm.us,2,112,22.4,31,6.2,-81,-16.2,19.4,NA,NA,NA,NA,NA,238.8,NA,GRASS,ANNUAL,GRASS
576,VULPIA MYUROS,5829,5829,scruzh.us,2,80,26.66666667,10,5,-70,-21.66666667,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS
577,VULPIA MYUROS,557,557,baddrt.de,2,182,18.2,77,15.4,-105,-2.8,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS
578,VULPIA MYUROS,5904,5904,scruzl.us,2,73,14.6,41,20.5,-32,5.9,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS
99,BROMUS STERILIS,2117,2117,cowidrt.ca,2,20,20,16,5.333333333,-4,-14.66666667,27.9,0.658333333,NA,30.5349098,NA,0.4459545,279.231,NA,GRASS,ANNUAL,GRASS
100,BROMUS STERILIS,445,445,baddrt.de,2,1.7,0.34,20,10,18.3,9.66,27.9,0.658333333,NA,30.5349098,NA,0.4459545,279.231,NA,GRASS,ANNUAL,GRASS
145,CERASTIUM GLOMERATUM,2137,2137,cowidrt.ca,2,4,1.333333333,7,1.4,3,0.066666667,17.025,0.249,14.7,23.38503171,0.11,0.4988333,318,NA,FORB,ANNUAL,FORB
146,CERASTIUM GLOMERATUM,3207,3207,jenadrt.de,2,3.5,1.166666667,1,0.5,-2.5,-0.666666667,17.025,0.249,14.7,23.38503171,0.11,0.4988333,318,NA,FORB,ANNUAL,FORB
433,RHINANTHUS MINOR,128,128,allmendb.ch,2,0.5,0.25,0.5,0.5,0,0.25,34.3558401,0.395833333,NA,18.84206584,0.08,NA,NA,NA,FORB,ANNUAL,FORB
96,BROMUS RUBENS,1407,1407,capmcd.us,2,0.5,0.166666667,0.5,0.166666667,0,0,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,GRASS,ANNUAL,GRASS
97,BROMUS RUBENS,2919,2919,gmgranite.us,2,0.8,0.133333333,0.1,0.1,-0.7,-0.033333333,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,GRASS,ANNUAL,GRASS
98,BROMUS RUBENS,2950,2950,gmmolar.us,2,1.5,0.214285714,0.8,0.114285714,-0.7,-0.1,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,GRASS,ANNUAL,GRASS
29,ANAGALLIS ARVENSIS,5703,5703,scruzh.us,2,36,12,39,9.75,3,-2.25,25,0.187,NA,28.34396552,0.315,NA,NA,NA,FORB,ANNUAL,FORB
430,RAPHANUS SATIVUS,5886,5886,scruzl.us,2,111,27.75,226,45.2,115,17.45,40.5,0.715,14.825,34.60857143,NA,NA,NA,NA,FORB,ANNUAL,FORB
431,RAPHANUS SATIVUS,5962,5962,scruzm.us,2,59,19.66666667,18,4.5,-41,-15.16666667,40.5,0.715,14.825,34.60857143,NA,NA,NA,NA,FORB,ANNUAL,FORB
449,SALVIA VERBENACA,2383,2383,credom.au,2,3.5,0.7,1,0.5,-2.5,-0.2,NA,0.508333333,NA,11.94,NA,NA,NA,NA,FORB,ANNUAL,FORB
450,SALVIA VERBENACA,2295,2295,credoj.au,2,2.5,0.5,2,0.5,-0.5,0,NA,0.508333333,NA,11.94,NA,NA,NA,NA,FORB,ANNUAL,FORB
520,THELESPERMA FILIFOLIUM,4880,4880,oklah.us,2,0.5,0.5,1,0.5,0.5,0,24.36,0.18804,NA,13.73905805,NA,NA,NA,NA,FORB,ANNUAL,FORB
521,THELESPERMA FILIFOLIUM,841,841,bfl.us,2,3,1.5,2,1,-1,-0.5,24.36,0.18804,NA,13.73905805,NA,NA,NA,NA,FORB,ANNUAL,FORB
390,PLANTAGO RHODOSPERMA,825,825,bfl.us,2,6,3,1,1,-5,-2,NA,NA,NA,17.37,NA,NA,NA,NA,FORB,ANNUAL,FORB
220,ERIGERON BONARIENSIS,4584,4584,naposta.ar,2,1,1,6,3,5,2,20.2,0.46625,NA,17.6205,NA,NA,NA,NA,FORB,ANNUAL,FORB
174,CROTON MONANTHOGYNUS,4752,4752,oklah.us,2,3.5,1.75,6,3,2.5,1.25,17.5,NA,NA,18.1,NA,NA,NA,NA,FORB,ANNUAL,FORB
70,BASSIA SCOPARIA,300,300,antelope.us,2,0.35,0.175,0.25,0.25,-0.1,0.075,32.45,NA,NA,19.65690846,NA,NA,NA,NA,FORB,ANNUAL,FORB
332,LINUM MEDIUM,6051,6051,slp.us,2,9,9,20,6.666666667,11,-2.333333333,NA,0.328,NA,22.57688088,NA,NA,NA,NA,FORB,ANNUAL,FORB
329,LINUM BIENNE,5775,5775,scruzh.us,2,2,2,7,3.5,5,1.5,27.53,0.375,NA,26.60625,NA,NA,NA,NA,FORB,ANNUAL,FORB
20,ALYSSUM DESERTORUM,4647,4647,nplatte.us,2,13,2.166666667,9,2.25,-4,0.083333333,NA,0.1,NA,27.17578947,NA,NA,NA,NA,FORB,ANNUAL,FORB
113,CARDUUS PYCNOCEPHALUS,5850,5850,scruzl.us,2,99,19.8,24,12,-75,-7.8,8.2,0.8,NA,38,NA,NA,NA,NA,FORB,ANNUAL,FORB
114,CARDUUS PYCNOCEPHALUS,5931,5931,scruzm.us,2,8,4,3,3,-5,-1,8.2,0.8,NA,38,NA,NA,NA,NA,FORB,ANNUAL,FORB
173,CROTON GLANDULOSUS,766,766,bfl.us,2,2,1,2,1,0,0,17.5,NA,NA,38.2464889,NA,NA,NA,NA,FORB,ANNUAL,FORB
