"","site_code","Taxon","mean.after.control","mean.after.drought","after.cover.response","mean.after.control.0","mean.after.drought.0","after.cover.response.0","mean.before.control","mean.before.drought","before.cover.response","mean.before.control.0","mean.before.drought.0","before.cover.response.0","cover.change"
"31","allmendb.ch","SANGUISORBA MINOR",2.66666666666667,2.5,-0.166666666666667,2.66666666666667,2.5,-0.166666666666667,4.5,6.08333333333333,1.58333333333333,4.5,6.08333333333333,1.58333333333333,-1.75
"32","allmendb.ch","SCABIOSA COLUMBARIA",2.58333333333333,1,-1.58333333333333,2.58333333333333,1,-1.58333333333333,1.33333333333333,1.5,0.166666666666667,1.33333333333333,1.5,0.166666666666667,-1.75
"33","allmendb.ch","TEUCRIUM CHAMAEDRYS",1,5.75,4.75,1,5.75,4.75,0.5,14.75,14.25,0.5,14.75,14.25,-9.5
"34","allmendb.ch","THYMUS SERPYLLUM",2.16666666666667,1.66666666666667,-0.5,2.16666666666667,1.66666666666667,-0.5,2.41666666666667,2.16666666666667,-0.25,2.41666666666667,2.16666666666667,-0.25,-0.25
"35","allmendb.ch","TRIFOLIUM MONTANUM",1,0.25,-0.75,1,0.25,-0.75,0.25,0.25,0,0.25,0.25,0,-0.75
"36","allmendb.ch","TRIFOLIUM PRATENSE",1,0.75,-0.25,1,0.75,-0.25,0.583333333333333,0.583333333333333,0,0.583333333333333,0.583333333333333,0,-0.25
"37","allmendo.ch","ACHILLEA MILLEFOLIUM",1.25,0.75,-0.5,1.25,0.75,-0.5,0.75,1.375,0.625,0.75,1.375,0.625,-1.125
"38","allmendo.ch","ANTHYLLIS VULNERARIA",0.875,1.5,0.625,0.875,1.5,0.625,1,2.16666666666667,1.16666666666667,1,2.16666666666667,1.16666666666667,-0.541666666666667
"39","allmendo.ch","ASPERULA CYNANCHICA",0.416666666666667,2.375,1.95833333333333,0.416666666666667,2.375,1.95833333333333,0.375,1.375,1,0.375,1.375,1,0.958333333333333
"40","allmendo.ch","BRACHYPODIUM PINNATUM",3.58333333333333,6.08333333333333,2.5,3.58333333333333,6.08333333333333,2.5,6.25,5.83333333333333,-0.416666666666667,6.25,5.83333333333333,-0.416666666666667,2.91666666666667
"41","allmendo.ch","BRIZA MEDIA",1.83333333333333,2.41666666666667,0.583333333333333,1.83333333333333,2.41666666666667,0.583333333333333,1.66666666666667,2.66666666666667,1,1.66666666666667,2.66666666666667,1,-0.416666666666667
"42","allmendo.ch","BROMUS ERECTUS",22.8333333333333,15.6666666666667,-7.16666666666667,22.8333333333333,15.6666666666667,-7.16666666666667,17.25,16.5,-0.75,17.25,16.5,-0.75,-6.41666666666667
"43","allmendo.ch","CAREX CARYOPHYLLEA",12.4166666666667,14.1666666666667,1.75,12.4166666666667,14.1666666666667,1.75,14.1666666666667,15.75,1.58333333333333,14.1666666666667,15.75,1.58333333333333,0.166666666666666
"44","allmendo.ch","CAREX FLACCA",1.5,1.5,0,1.5,1.5,0,1.75,5,3.25,1.75,5,3.25,-3.25
"45","allmendo.ch","CENTAUREA JACEA",1,2.25,1.25,1,2.25,1.25,1,0.583333333333333,-0.416666666666667,1,0.583333333333333,-0.416666666666667,1.66666666666667
"46","allmendo.ch","CENTAUREA SCABIOSA",4.125,1.75,-2.375,4.125,1.75,-2.375,3,1.58333333333333,-1.41666666666667,3,1.58333333333333,-1.41666666666667,-0.958333333333333
"47","allmendo.ch","EUPHORBIA CYPARISSIAS",2.25,1.75,-0.5,2.25,1.75,-0.5,2.25,0.25,-2,2.25,0.25,-2,1.5
"48","allmendo.ch","FESTUCA OVINA",5.41666666666667,7.08333333333333,1.66666666666667,5.41666666666667,7.08333333333333,1.66666666666667,7.08333333333333,7.25,0.166666666666667,7.08333333333333,7.25,0.166666666666667,1.5
"49","allmendo.ch","GALIUM VERUM",1.75,0.875,-0.875,1.75,0.875,-0.875,1.41666666666667,1.375,-0.0416666666666667,1.41666666666667,1.375,-0.0416666666666667,-0.833333333333333
"50","allmendo.ch","GLOBULARIA VULGARIS",0.583333333333333,1.33333333333333,0.75,0.583333333333333,1.33333333333333,0.75,0.375,0.375,0,0.375,0.375,0,0.75
"51","allmendo.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",5.83333333333333,5.41666666666667,-0.416666666666666,5.83333333333333,5.41666666666667,-0.416666666666666,3.66666666666667,4.16666666666667,0.5,3.66666666666667,4.16666666666667,0.5,-0.916666666666667
"52","allmendo.ch","HELICTOTRICHON PRATENSE",1.08333333333333,3.75,2.66666666666667,1.08333333333333,3.75,2.66666666666667,1.75,3.83333333333333,2.08333333333333,1.75,3.83333333333333,2.08333333333333,0.583333333333333
"53","allmendo.ch","HIPPOCREPIS COMOSA",5.33333333333333,2.83333333333333,-2.5,5.33333333333333,2.83333333333333,-2.5,6.66666666666667,4.16666666666667,-2.5,6.66666666666667,4.16666666666667,-2.5,4.44089209850063e-16
"54","allmendo.ch","LINUM CATHARTICUM",2.08333333333333,1.66666666666667,-0.416666666666667,2.08333333333333,1.66666666666667,-0.416666666666667,5.41666666666667,6.25,0.833333333333333,5.41666666666667,6.25,0.833333333333333,-1.25
"55","allmendo.ch","LOTUS CORNICULATUS",0.625,0.375,-0.25,0.625,0.375,-0.25,0.75,0.25,-0.5,0.75,0.25,-0.5,0.25
"56","allmendo.ch","PIMPINELLA SAXIFRAGA",2.33333333333333,2.16666666666667,-0.166666666666667,2.33333333333333,2.16666666666667,-0.166666666666667,1.91666666666667,2.25,0.333333333333333,1.91666666666667,2.25,0.333333333333333,-0.5
"57","allmendo.ch","PLANTAGO LANCEOLATA",0.75,0.75,0,0.75,0.75,0,0.416666666666667,0.25,-0.166666666666667,0.416666666666667,0.25,-0.166666666666667,0.166666666666667
"58","allmendo.ch","POLYGALA VULGARIS",0.375,0.5,0.125,0.375,0.5,0.125,NA,0.25,NA,0,0.25,0.25,-0.125
"59","allmendo.ch","POTENTILLA GRANDIFLORA",5.25,3.25,-2,5.25,3.25,-2,1.75,0.416666666666667,-1.33333333333333,1.75,0.416666666666667,-1.33333333333333,-0.666666666666667
"60","allmendo.ch","PRUNELLA VULGARIS",7.91666666666667,4.16666666666667,-3.75,7.91666666666667,4.16666666666667,-3.75,5.75,6.25,0.5,5.75,6.25,0.5,-4.25
"61","allmendo.ch","RHINANTHUS MINOR",1.08333333333333,0.833333333333333,-0.25,1.08333333333333,0.833333333333333,-0.25,2.33333333333333,3.41666666666667,1.08333333333333,2.33333333333333,3.41666666666667,1.08333333333333,-1.33333333333333
"62","allmendo.ch","SALVIA PRATENSIS",0.5,3.875,3.375,0.5,3.875,3.375,NA,2.625,NA,0,2.625,2.625,0.75
"63","allmendo.ch","SANGUISORBA MINOR",NA,0.5,NA,0,0.5,0.5,NA,0.5,NA,0,0.5,0.5,0
"64","allmendo.ch","SCABIOSA COLUMBARIA",0.25,1.625,1.375,0.25,1.625,1.375,0.416666666666667,1,0.583333333333333,0.416666666666667,1,0.583333333333333,0.791666666666667
"65","allmendo.ch","TEUCRIUM CHAMAEDRYS",3.83333333333333,2.58333333333333,-1.25,3.83333333333333,2.58333333333333,-1.25,2.08333333333333,1.25,-0.833333333333333,2.08333333333333,1.25,-0.833333333333333,-0.416666666666667
"66","allmendo.ch","TEUCRIUM MONTANUM",7.25,NA,NA,7.25,0,-7.25,3.5,0.5,-3,3.5,0.5,-3,-4.25
"67","allmendo.ch","THYMUS SERPYLLUM",1.5,1.83333333333333,0.333333333333333,1.5,1.83333333333333,0.333333333333333,1,0.416666666666667,-0.583333333333333,1,0.416666666666667,-0.583333333333333,0.916666666666667
"68","allmendo.ch","TRIFOLIUM MONTANUM",0.666666666666667,0.5,-0.166666666666667,0.666666666666667,0.5,-0.166666666666667,1.08333333333333,0.25,-0.833333333333333,1.08333333333333,0.25,-0.833333333333333,0.666666666666667
"69","baddrt.de","APERA SPICA-VENTI",4.7625,9.36666666666667,4.60416666666667,4.7625,9.36666666666667,4.60416666666667,1.775,7,5.225,1.775,7,5.225,-0.620833333333333
"70","baddrt.de","BROMUS HORDEACEUS",0.55,0.01,-0.54,0.55,0.01,-0.54,NA,0.55,NA,0,0.55,0.55,-1.09
"71","baddrt.de","BROMUS STERILIS",0.1025,5,4.8975,0.1025,5,4.8975,NA,2,NA,0,2,2,2.8975
"72","baddrt.de","CIRSIUM ARVENSE",3.27777777777778,3.3,0.0222222222222221,3.27777777777778,3.3,0.0222222222222221,10.5,12.6,2.1,10.5,12.6,2.1,-2.07777777777778
"73","baddrt.de","CREPIS BIENNIS",4.85714285714286,6.5,1.64285714285714,4.85714285714286,6.5,1.64285714285714,40.7,52,11.3,40.7,52,11.3,-9.65714285714285
"74","baddrt.de","CREPIS CAPILLARIS",1.61666666666667,9,7.38333333333333,1.61666666666667,9,7.38333333333333,3.55555555555556,5.4,1.84444444444444,3.55555555555556,5.4,1.84444444444444,5.53888888888889
"75","baddrt.de","EPILOBIUM ANGUSTIFOLIUM",NA,1.05,NA,0,1.05,1.05,NA,5,NA,0,5,5,-3.95
"76","baddrt.de","EPILOBIUM TETRAGONUM",0.812,0.8,-0.012,0.812,0.8,-0.012,5.7,7,1.3,5.7,7,1.3,-1.312
"77","baddrt.de","ERIGERON CANADENSIS",0.353333333333333,NA,NA,0.353333333333333,0,-0.353333333333333,1,NA,NA,1,0,-1,0.646666666666667
"78","baddrt.de","GALIUM APARINE",0.07,0.1,0.03,0.07,0.1,0.03,0.26,0.5,0.24,0.26,0.5,0.24,-0.21
"79","baddrt.de","HYPERICUM PERFORATUM",0.2,NA,NA,0.2,0,-0.2,0.5,NA,NA,0.5,0,-0.5,0.3
"80","baddrt.de","PICRIS HIERACIOIDES",63,48,-15,63,48,-15,33.7,23.2,-10.5,33.7,23.2,-10.5,-4.5
"81","baddrt.de","POA TRIVIALIS",1.40333333333333,0.01,-1.39333333333333,1.40333333333333,0.01,-1.39333333333333,2,NA,NA,2,0,-2,0.606666666666667
"82","baddrt.de","PRUNUS AVIUM",0.3,NA,NA,0.3,0,-0.3,0.5,NA,NA,0.5,0,-0.5,0.2
"83","baddrt.de","RUMEX CRISPUS",5,0.5,-4.5,5,0.5,-4.5,7,NA,NA,7,0,-7,2.5
"84","baddrt.de","SOLIDAGO CANADENSIS",0.2,0.15,-0.05,0.2,0.15,-0.05,4.25,NA,NA,4.25,0,-4.25,4.2
"85","baddrt.de","SONCHUS ASPER",0.35,1,0.65,0.35,1,0.65,2,2.125,0.125,2,2.125,0.125,0.525
"86","baddrt.de","TARAXACUM TARAXACUM",2.24,7.06,4.82,2.24,7.06,4.82,7.25,8.75,1.5,7.25,8.75,1.5,3.32
"87","baddrt.de","TRAGOPOGON PRATENSIS",0.5,NA,NA,0.5,0,-0.5,1,1,0,1,1,0,-0.5
"88","baddrt.de","TRIPLEUROSPERMUM INODORUM",0.5,NA,NA,0.5,0,-0.5,0.533333333333333,0.5,-0.0333333333333333,0.533333333333333,0.5,-0.0333333333333333,-0.466666666666667
"89","baddrt.de","VULPIA MYUROS",4.34285714285714,3.53333333333333,-0.80952380952381,4.34285714285714,3.53333333333333,-0.80952380952381,1.33333333333333,80,78.6666666666667,1.33333333333333,80,78.6666666666667,-79.4761904761905
"90","biddulph.ca","ARTEMISIA FRIGIDA",5,2,-3,5,2,-3,3,1,-2,3,1,-2,-1
"91","biddulph.ca","ARTEMISIA LUDOVICIANA",NA,1,NA,0,1,1,NA,0.75,NA,0,0.75,0.75,0.25
"92","biddulph.ca","FESTUCA ALTAICA",2,0.5,-1.5,2,0.5,-1.5,0.666666666666667,2.16666666666667,1.5,0.666666666666667,2.16666666666667,1.5,-3
"93","biddulph.ca","LYGODESMIA JUNCEA",0.75,NA,NA,0.75,0,-0.75,NA,1,NA,0,1,1,-1.75
"94","biddulph.ca","PSORALEA LANCEOLATA",6.5,11,4.5,6.5,11,4.5,1.5,2,0.5,1.5,2,0.5,4
"95","biddulph.ca","ROSA ARKANSANA",8,1,-7,8,1,-7,3,1,-2,3,1,-2,-5
"96","biddulph.ca","SOLIDAGO MISSOURIENSIS",8,NA,NA,8,0,-8,5,NA,NA,5,0,-5,-3
"97","biddulph.ca","STIPA COMATA",12.5,14.5,2,12.5,14.5,2,3.5,5.5,2,3.5,5.5,2,0
"98","brokenh.au","MAIREANA PYRAMIDATA",12,NA,NA,12,0,-12,30,NA,NA,30,0,-30,18
"99","brokenh.au","SCLEROLAENA DIACANTHA",1,1,0,1,1,0,1,1,0,1,1,0,0
"100","brokenh.au","SOLANUM ELLIPTICUM",1,1,0,1,1,0,2,2,0,2,2,0,0
"101","brookdale.ca","ACHILLEA MILLEFOLIUM",1,1.5,0.5,1,1.5,0.5,5,5,0,5,5,0,0.5
"102","brookdale.ca","AGASTACHE FOENICULUM",NA,1.5,NA,0,1.5,1.5,NA,8.333333333,NA,0,8.333333333,8.333333333,-6.833333333
"103","brookdale.ca","ALLIUM CERNUUM",1,NA,NA,1,0,-1,5,NA,NA,5,0,-5,4
"104","brookdale.ca","ANDROPOGON GERARDII",2.875,2.611111111,-0.263888889,2.875,2.611111111,-0.263888889,19.833333334,9,-10.833333334,19.833333334,9,-10.833333334,10.569444445
"105","brookdale.ca","ANEMONASTRUM CANADENSE",2,2.4375,0.4375,2,2.4375,0.4375,6.94444444433333,9.16666666666667,2.22222222233333,6.94444444433333,9.16666666666667,2.22222222233333,-1.78472222233333
"106","brookdale.ca","ARTEMISIA LUDOVICIANA",1.25,1.95,0.7,1.25,1.95,0.7,12,9.1666666666,-2.8333333334,12,9.1666666666,-2.8333333334,3.5333333334
"107","brookdale.ca","BROMUS INERMIS",3.1,3.65,0.55,3.1,3.65,0.55,9.6666666666,11.25,1.5833333334,9.6666666666,11.25,1.5833333334,-1.0333333334
"108","brookdale.ca","CIRSIUM ARVENSE",1.9,2.1333333332,0.2333333332,1.9,2.1333333332,0.2333333332,17.666666666,17.5,-0.166666666000001,17.666666666,17.5,-0.166666666000001,0.399999999200001
"109","brookdale.ca","CYPRIPEDIUM PARVIFLORUM",1.25,1,-0.25,1.25,1,-0.25,5,5,0,5,5,0,-0.25
"110","brookdale.ca","GALIUM BOREALE",1.2833333334,1.3333333334,0.0499999999999998,1.2833333334,1.3333333334,0.0499999999999998,6.5,6.5,0,6.5,6.5,0,0.0499999999999998
"111","brookdale.ca","GLYCYRRHIZA LEPIDOTA",4.35,3.75,-0.6,4.35,3.75,-0.6,25.166666666,18.5,-6.666666666,25.166666666,18.5,-6.666666666,6.066666666
"112","brookdale.ca","HELIOPSIS HELIANTHOIDES",NA,2,NA,0,2,2,16.875,11,-5.875,16.875,11,-5.875,7.875
"113","brookdale.ca","POA PRATENSIS",6.55,6.25,-0.3,6.55,6.25,-0.3,66,61,-5,66,61,-5,4.7
"114","brookdale.ca","ROSA ACICULARIS",1.5166666666,1.5666666666,0.05,1.5166666666,1.5666666666,0.05,8.6666666666,8.5,-0.166666666599999,8.6666666666,8.5,-0.166666666599999,0.216666666599999
"115","brookdale.ca","SOLIDAGO CANADENSIS",2.4,2.9,0.5,2.4,2.9,0.5,27,30,3,27,30,3,-2.5
"116","brookdale.ca","SOLIDAGO RIGIDA",2.5,1.5,-1,2.5,1.5,-1,5,5,0,5,5,0,-1
"117","brookdale.ca","THALICTRUM VENULOSUM",1,1.75,0.75,1,1.75,0.75,5,6.66666666666667,1.66666666666667,5,6.66666666666667,1.66666666666667,-0.916666666666667
"118","brookdale.ca","VICIA AMERICANA",1,1,0,1,1,0,5,5,0,5,5,0,0
"119","brookdale.ca","ZIZIA APTERA",2,1,-1,2,1,-1,5,5,0,5,5,0,-1
"120","capmcd.us","DICHELOSTEMMA CAPITATUM",0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0
"121","capmcd.us","ERODIUM TEXANUM",1,0.5,-0.5,1,0.5,-0.5,0.5,NA,NA,0.5,0,-0.5,0
"122","capmcd.us","LOGFIA ARIZONICA",0.5,NA,NA,0.5,0,-0.5,NA,0.5,NA,0,0.5,0.5,-1
"123","capmcd.us","PECTOCARYA RECURVATA",5.21428571428571,2.85714285714286,-2.35714285714286,5.21428571428571,2.85714285714286,-2.35714285714286,0.5,0.5,0,0.5,0.5,0,-2.35714285714286
"124","capmcd.us","PHYSARIA GORDONII",0.5,NA,NA,0.5,0,-0.5,0.5,NA,NA,0.5,0,-0.5,0
"125","capmcd.us","PLANTAGO OVATA",8.71428571428571,23.7142857142857,15,8.71428571428571,23.7142857142857,15,0.583333333333333,1,0.416666666666667,0.583333333333333,1,0.416666666666667,14.5833333333333
"126","capmcd.us","PLANTAGO PATAGONICA",0.75,4,3.25,0.75,4,3.25,0.5,0.5,0,0.5,0.5,0,3.25
"127","capmcd.us","SCHISMUS ARABICUS",33.8571428571429,25.1428571428571,-8.71428571428571,33.8571428571429,25.1428571428571,-8.71428571428571,71.4285714285714,70.2857142857143,-1.14285714285714,71.4285714285714,70.2857142857143,-1.14285714285714,-7.57142857142857
"128","capwhite.us","ASTRAGALUS NUTTALLIANUS",0.5,0.75,0.25,0.5,0.75,0.25,NA,0.5,NA,0,0.5,0.5,-0.25
"129","capwhite.us","LOGFIA ARIZONICA",0.928571428571428,4.7,3.77142857142857,0.928571428571428,4.7,3.77142857142857,2.42857142857143,0.833333333333333,-1.5952380952381,2.42857142857143,0.833333333333333,-1.5952380952381,5.36666666666667
"130","capwhite.us","OTTLEYA STRIGOSA",0.5,0.6,0.1,0.5,0.6,0.1,0.5,NA,NA,0.5,0,-0.5,0.6
"131","capwhite.us","PECTOCARYA HETEROCARPA",1.25,NA,NA,1.25,0,-1.25,0.5,0.5,0,0.5,0.5,0,-1.25
"132","capwhite.us","PECTOCARYA PLATYCARPA",1.25,0.5,-0.75,1.25,0.5,-0.75,0.5,NA,NA,0.5,0,-0.5,-0.25
"133","capwhite.us","PECTOCARYA RECURVATA",0.5,0.5,0,0.5,0.5,0,0.5,0.875,0.375,0.5,0.875,0.375,-0.375
"134","capwhite.us","PHYSARIA GORDONII",0.5,0.5,0,0.5,0.5,0,2.33333333333333,4.6,2.26666666666667,2.33333333333333,4.6,2.26666666666667,-2.26666666666667
"135","capwhite.us","PLANTAGO OVATA",9.5,4.57142857142857,-4.92857142857143,9.5,4.57142857142857,-4.92857142857143,1.42857142857143,2.85714285714286,1.42857142857143,1.42857142857143,2.85714285714286,1.42857142857143,-6.35714285714286
"136","capwhite.us","PLANTAGO PATAGONICA",1.5,1,-0.5,1.5,1,-0.5,0.714285714285714,0.583333333333333,-0.130952380952381,0.714285714285714,0.583333333333333,-0.130952380952381,-0.369047619047619
"137","capwhite.us","SCHISMUS ARABICUS",35.7142857142857,7.71428571428571,-28,35.7142857142857,7.71428571428571,-28,24.7142857142857,32,7.28571428571428,24.7142857142857,32,7.28571428571428,-35.2857142857143
"138","capwhite.us","VULPIA OCTOFLORA",0.5,NA,NA,0.5,0,-0.5,NA,0.5,NA,0,0.5,0.5,-1
"139","cdpt_drt.us","ARISTIDA PURPUREA",6,4.33333333333333,-1.66666666666667,6,4.33333333333333,-1.66666666666667,NA,5,NA,0,5,5,-6.66666666666667
"140","cdpt_drt.us","ARTEMISIA FILIFOLIA",8,NA,NA,8,0,-8,4.5,NA,NA,4.5,0,-4.5,-3.5
"141","cdpt_drt.us","ARTEMISIA FRIGIDA",4.66666666666667,11.5,6.83333333333333,4.66666666666667,11.5,6.83333333333333,6.2,12.5,6.3,6.2,12.5,6.3,0.533333333333334
"142","cdpt_drt.us","BOUTELOUA GRACILIS",15,12.8333333333333,-2.16666666666667,15,12.8333333333333,-2.16666666666667,11.6666666666667,10.6666666666667,-1,11.6666666666667,10.6666666666667,-1,-1.16666666666667
"143","cdpt_drt.us","BROMUS JAPONICUS",2,4,2,2,4,2,5.5,1,-4.5,5.5,1,-4.5,6.5
"144","cdpt_drt.us","BUCHLOE DACTYLOIDES",1,NA,NA,1,0,-1,2,NA,NA,2,0,-2,1
"145","cdpt_drt.us","CAREX FILIFOLIA",18.5,19.1666666666667,0.666666666666668,18.5,19.1666666666667,0.666666666666668,20.1666666666667,20.5,0.333333333333332,20.1666666666667,20.5,0.333333333333332,0.333333333333336
"146","cdpt_drt.us","COREOPSIS TINCTORIA",3.5,2.25,-1.25,3.5,2.25,-1.25,2,1.75,-0.25,2,1.75,-0.25,-1
"147","cdpt_drt.us","DALEA ENNEANDRA",0.5,NA,NA,0.5,0,-0.5,0.5,NA,NA,0.5,0,-0.5,0
"148","cdpt_drt.us","DICHANTHELIUM OLIGOSANTHES",3,0.5,-2.5,3,0.5,-2.5,1.25,2,0.75,1.25,2,0.75,-3.25
"149","cdpt_drt.us","ESCOBARIA VIVIPARA",0.18,NA,NA,0.18,0,-0.18,0.3,0.5,0.2,0.3,0.5,0.2,-0.38
"150","cdpt_drt.us","GAURA COCCINEA",2,1,-1,2,1,-1,0.1,0.5,0.4,0.1,0.5,0.4,-1.4
"151","cdpt_drt.us","HESPEROSTIPA COMATA",10.1666666666667,15.5,5.33333333333333,10.1666666666667,15.5,5.33333333333333,13.6666666666667,10.8333333333333,-2.83333333333333,13.6666666666667,10.8333333333333,-2.83333333333333,8.16666666666667
"152","cdpt_drt.us","HETEROTHECA VILLOSA",NA,0.55,NA,0,0.55,0.55,NA,0.3,NA,0,0.3,0.3,0.25
"153","cdpt_drt.us","KOELERIA MACRANTHA",10,12,2,10,12,2,NA,14,NA,0,14,14,-12
"154","cdpt_drt.us","LIATRIS PUNCTATA",0.5,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0,0.5
"155","cdpt_drt.us","LITHOSPERMUM INCISUM",2.75,2.16666666666667,-0.583333333333333,2.75,2.16666666666667,-0.583333333333333,1.75,1.91666666666667,0.166666666666667,1.75,1.91666666666667,0.166666666666667,-0.75
"156","cdpt_drt.us","LYGODESMIA JUNCEA",1.2,0.55,-0.65,1.2,0.55,-0.65,1,0.5,-0.5,1,0.5,-0.5,-0.15
