Taxon,Taxonomic.status,Taxon.update,Taxon.notes,LA,leafC,leafN.mg.g,height,rootC,rootN.mg.g,seed.dry.mass,SLA,leaf.thickness,root.depth,RTD,fineRTD,LDMC,SRL,fineSRL,rootDiam,Fine.root.C.N.ratio,Root.Shoot.Ratio,Notes,Notes.2,,,
AGROSTIS INCONSPICUA,Accepted,AGROSTIS INCONSPICUA,,,,,,,,,,,,,,,,,,,,,,,,
AGROSTIS MONTEVIDENSIS,Accepted,AGROSTIS MONTEVIDENSIS,,,,,0.229358974,,,,,0.156896552,,,,,,,,,,,,,,
AGROSTIS RUPESTRIS,Accepted,AGROSTIS RUPESTRIS,,,,,0.035,,,,15.5,,,,,,,,,,,,,,,
AGROSTIS SCABRA,Accepted,AGROSTIS SCABRA,,,,8.00326776,6.263666667,,12.3048825,0.0647,9.409573332,,0.3048,0.2,,0.4954,109,,0.21,41.65174333,0.112495427,"Diam, RootN, RTD, SRL from Groot",,,,
AGROSTIS STOLONIFERA,Accepted,AGROSTIS STOLONIFERA,,253.3799833,408.7144974,31.5111841,0.414942857,415.1,6.2,0.051948333,31.65060428,0.138666667,0.3048,0.212659866,,0.299178871,353.7043306,13295.27111,0.1,,,"RTD, SRL from Groot",,,,
AGROSTIS VENUSTA,Accepted,AGROSTIS VENUSTA,,,,,,,,,,,,,,,,,,,,,,,,
AIRA CARYOPHYLLEA,Accepted,AIRA CARYOPHYLLEA,,14.2,,,0.155,,,0.133642857,21.08,,,,,0.279666667,,,,,,,,,,
AIRA ELEGANTISSIMA,Accepted,AIRA ELEGANTISSIMA,,,,,,,,0.05,,,0.066,,,,760.85,,0.228,,,"Diam,Depth,SRL from Groot",,,,
ALCHEMILLA IDAEUS,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,
ALCHEMILLA PENTAPHYLLEA,Accepted,ALCHEMILLA PENTAPHYLLEA,,,,,,,,,,,,,,,,,,,,,,,,
ALLIONIA INCARNATA,Accepted,ALLIONIA INCARNATA,,,,,,,,2.797,21.88917424,0.648955,,92.51711593,4.25E-07,,,0.00060128,0.665,,,"RTD, fineRTD,SRL,rootDiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,
ALLIUM ACUMINATUM,Accepted,ALLIUM ACUMINATUM,,,,,0.3048,,,2.042618482,,,0.1524,,,,,,,,,,,,,
ALLIUM CERNUUM,Accepted,ALLIUM CERNUUM,,,,,,,,3.85,,,,,,,,,,,,,,,,
ALLIUM NEAPOLITANUM,Accepted,ALLIUM NEAPOLITANUM,,,,,,,,4.7,,,,,,,,,,,,,,,,
ALOPECURUS PRATENSIS,Accepted,ALOPECURUS PRATENSIS,,879.4416667,441.680697,23.8325776,0.806266667,338.6819816,9.698958476,0.84590026,27.30021588,,0.3048,0.069943613,,0.324488889,230.6921222,6768.443055,0.305414955,,,"Root C and N, RTD, SRL, Diam, from Groot",,,,
ALYSSUM DESERTORUM,Accepted,ALYSSUM DESERTORUM,,,,,0.1,,,0.465,27.17578947,0.1,,,,,,,,,,,,,,
AMBROSIA ARTEMISIIFOLIA,Accepted,AMBROSIA ARTEMISIIFOLIA,,3781.883333,,23.1,0.909666667,,15.077975,3.99,21.45333609,,,0.08,,0.151706667,135,,0.36,38.43387379,0.119945091,"Root N, SRL, RTD, Diam from Groot",,,,
AMBROSIA DUMOSA,Accepted,AMBROSIA DUMOSA,,,,29.546,0.6096,,,103.0750113,,,0.3048,,,,,,,,,,,,,
AMBROSIA PSILOSTACHYA,Accepted,AMBROSIA PSILOSTACHYA,,469.5356279,405.0709762,18.97013095,0.573,356.8556213,12.898947,6.6635,15.44603169,,0.99,,,0.312764362,72.86941615,,,,0.063284183,"SRL, Root C ,Root N, Depth from Groot",,,,
AMBROSIA TENUIFOLIA,Accepted,AMBROSIA TENUIFOLIA,,,,18.2,4.572,,,7.11547095,9.366271504,,0.6096,,,,,,,,,,,,,
AMORPHA CANESCENS,Accepted,AMORPHA CANESCENS,,1117.697486,483.6941304,22.25861206,0.9096,,27.18327333,2.06066574,22.32649922,,0.508,,,0.407094503,45.95532256,,,,,"SRL, Root N from Groot",,,,
AMPHICARPAEA BRACTEATA,Accepted,AMPHICARPAEA BRACTEATA,,,,23.5625,,,,31.045,,,,,,,,,,,,,,,,
AMSINCKIA TESSELLATA,Accepted,AMSINCKIA TESSELLATA,,,,,,,,4.459166667,,,,,,,,,,,,,,,,
ANAGALLIS ARVENSIS,Accepted,ANAGALLIS ARVENSIS,,104,,,0.187,,,0.46794,28.34396552,0.25,,,,,,,,,,,,,,
ANDROPOGON GERARDII,Accepted,ANDROPOGON GERARDII,,1622.15395,459.365622,11.43191184,1.148072222,413.4,14.4,2.286543361,19.32942295,0.12,0.508,0.2,,0.352528624,60.09709758,65.1,0.1,,0.498362777,"RTD, SRL from Justin",RL from Groot,,,
ANDROPOGON GLOMERATUS,Accepted,ANDROPOGON GLOMERATUS,,,,15.3,1.92024,,,1.289630612,,,0.3048,,,,,,,,,,,,,
ANDROPOGON VIRGINICUS,Accepted,ANDROPOGON VIRGINICUS,,,,13.3,0.763593333,,,0.411924396,11.86738259,,0.3556,,,0.516386487,,,,,,,,,,
ANDROSACE SEPTENTRIONALIS,Accepted,ANDROSACE SEPTENTRIONALIS,,26.29,,,0.187222222,464.6035004,12.29704857,0.193,21.53583333,,0.1,,,0.176933333,79.9969395,,,,0.128,"Root C and N, depth SRL, from Groot",,,,
ANEMONASTRUM CANADENSE,NA,,synonym: Anemone canadensis,,,,,,,,,,,,,,,,,,,,,,,
ANEMONE CAROLINIANA,Accepted,ANEMONE CAROLINIANA,,,,,,,,,,,,,,,,,,,,,,,,
ANEMONE PATENS,Accepted,ANEMONE PATENS,,,,,,,,,,,0.762222222,0.359426374,,,33.15708162,,,,,"depth, RTD, SRL from Groot",,,,
ANTENNARIA NEGLECTA,Accepted,ANTENNARIA NEGLECTA,,280.392619,424.2126667,14.85633333,0.3048,,,0.078206998,17.70998319,,0.2286,0.15753416,,,118.3340008,,0.277125,,,"diam, RTD, SRL from Groot",,,,
ANTHOXANTHUM ODORATUM,Accepted,ANTHOXANTHUM ODORATUM,,225.4777443,445.5531639,23.59023243,0.383753535,418.7333333,8.005555556,0.6351875,24.91123988,0.129638889,0.155,0.107066623,,0.317219517,344.3025853,,0.111111111,,0.289,"depth, RTD, SRL from Groot",,,,
ANTHYLLIS VULNERARIA,Accepted,ANTHYLLIS VULNERARIA,,1007,436.8483348,32.33118574,0.2845,,19.6042,2.927449091,18.21819656,0.37,1.7,0.22014466,,0.167130925,149.3012403,,,,0.586,"depth, RTD, SRL from Groot",,,,
APERA SPICA-VENTI,Accepted,APERA SPICA-VENTI,,757.5,,,0.775,,,0.110857143,19.13333333,,,,,0.252,,,,,,,,,,
APHANES ARVENSIS,Accepted,APHANES ARVENSIS,,,,15.00,5.8,,,,35.07,,,,,,,,,,,"leafN, height, SLA from PI",,,,
APHELIA PUMILIO,Accepted,APHELIA PUMILIO,,,,,,,,,,,,,,,,,,,,,,,,
APHYLLANTHES MONSPELIENSIS,Accepted,APHYLLANTHES MONSPELIENSIS,,,,,,,,,,,,,,,,,,,,,,,,
APOCYNUM CANNABINUM,Accepted,APOCYNUM CANNABINUM,,,,,0.95292,,,0.967932367,10.21642474,,0.3048,0.326740067,,,54.03916377,,0.304733333,,,"diam, RTD, SRL from Groot",,,,
ARENARIA SERPYLLIFOLIA,Accepted,ARENARIA SERPYLLIFOLIA,,9.362,,17.48,0.2178,423.7,13.275,0.076380229,21.35760291,0.222,,0.067,,0.225212222,627.505,,0.207422972,,0.225,leafN from PI,"root C and N, RTD, SRL, Diam from Groot",,,
ARGYROLOBIUM ZANONII,Accepted,ARGYROLOBIUM ZANONII,,,,,,,,6.5,,,,,,,,,,,,,,,,
ARISTIDA CONTORTA,Accepted,ARISTIDA CONTORTA,,30,,,0.3,,,2.238333333,9.37,,,,,,,,,,,,,,,
ARISTIDA HOLATHERA,Accepted,ARISTIDA HOLATHERA,,100,520,8.4875,0.7,535,2.975,,5.62,0.195,,0.745,,,,,0.375,,,RTD from Groot,,,,
ARISTIDA JUNCIFORMIS,Accepted,ARISTIDA JUNCIFORMIS,,,,,,,,,,,,,,,,,,,,,,,,
ARISTIDA LONGESPICA,Accepted,ARISTIDA LONGESPICA,,,,,,,,,,,,,,,,,,,,,,,,
ARISTIDA MENDOCINA,Accepted,ARISTIDA MENDOCINA,,,,,,,,,,,,,,,,,,,,,,,,
ARISTIDA PURPUREA,Accepted,ARISTIDA PURPUREA,,,,,,370.8731842,6.528089643,1.16,9.504387163,,1.315133333,0.3626,1.18E-06,,13.45,,0.05,,,"SLA, RTDfine, rootDiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","Root C and N, and depth from Groot",,,
ARISTIDA SETIFOLIA,Accepted,ARISTIDA SETIFOLIA,,,,,,,,1.1,,,,,,,,,,,,,,,,
ARISTIDA STRICTA,Accepted,ARISTIDA STRICTA,,,,,1.18872,,,0.712898551,,,0.1524,,,,,,,,,,,,,
ARJONA TUBEROSA,Accepted,ARJONA TUBEROSA,,,,,,,,,,,,,,,,,,,,,,,,
ARMERIA MARITIMA,Accepted,ARMERIA MARITIMA,,,,17,0.308106667,,9.3,0.62,,,0.254,,,0.17294,,,0.221876923,,,Root N and Diam from Groot,,,,
ARRHENATHERUM ELATIUS,Accepted,ARRHENATHERUM ELATIUS,,1223,429.0133333,29.13532598,0.989798495,368.7593474,8.902914385,2.702454099,29.00111419,0.14,0.3556,0.119407807,,0.26491161,190.1954961,,0.304707692,,,"RootC and N, Diam, RTD, SRL from Groot",,,,
ARTEMISIA ABSINTHIUM,Accepted,ARTEMISIA ABSINTHIUM,,2475.5,,,0.802333333,,,0.107732857,24.66323678,0.16167,,,,0.2205,,,,,,,,,,
ARTEMISIA ARBUSCULA,Accepted,ARTEMISIA ARBUSCULA,,,,,0.6096,,,0.607972506,,,0.254,,,,,,,,,,,,,
ARTEMISIA CAMPESTRIS,Accepted,ARTEMISIA CAMPESTRIS,,180.8916667,,28.42,0.637875,439.7811127,9.064339995,0.165679167,12.76973075,,,,,0.21680713,52.76693918,,,,0.685802975,"RootC and N, SRL froom Groot",,,,
ARTEMISIA CANA,Accepted,ARTEMISIA CANA,,,,,1.524,,,0.400022744,,,0.508,0.261669741,,,55.91952402,,0.31,,,"RTD, SRL, Diam from Groot",,,,
ARTEMISIA FILIFOLIA,Accepted,ARTEMISIA FILIFOLIA,,,,,,,,0.25,,,3.3528,,,,,,,,,depth from groot,,,,
ARTEMISIA FRIGIDA,Accepted,ARTEMISIA FRIGIDA,,236.5555556,441.0966667,27.14787037,0.6096,,13.115,0.0766,15.13958917,,0.2032,0.362103739,,,34.74405462,,0.188200863,,,"Root N, SRL, Diam, RTD from groot",,,,
ARTEMISIA INDICA,Accepted,ARTEMISIA INDICA,,,,,,,,,,,,,,,,,,,,,,,,
ARTEMISIA LUDOVICIANA,Accepted,ARTEMISIA LUDOVICIANA,,361.0964742,444.6546364,19.24454545,0.59195,,,0.158941027,16.4954108,,0.2032,0.222016659,,0.319409336,76.92231348,,0.31821746,,0.114516289,"Diam, RTD, SRL from groot",,,,
ARTEMISIA NOVA,Accepted,ARTEMISIA NOVA,,,,,0.6096,,,1.037692113,,,0.254,,,,,,,,,,,,,
ARTEMISIA TRIDENTATA,Accepted,ARTEMISIA TRIDENTATA,,43.97777778,,15.26666667,2.0334,,,0.330202386,7.24415531,,0.508,,,,76.06224385,,0.485315,,,"Diam, SRL from Groot",,,,
ARTEMISIA VULGARIS,Accepted,ARTEMISIA VULGARIS,,3914.426333,424.1666667,44.63333333,1.439387862,,,0.152111429,21.44697757,0.154,,0.103788328,,0.232392647,270.1683965,,0.241066667,,,"Diam, RTD, SRL from Groot",,,,
ASCLEPIAS PUMILA,Accepted,ASCLEPIAS PUMILA,,,,,,,,,,,,,,,,,,,,,,,,
ASCLEPIAS VIRIDIS,Accepted,ASCLEPIAS VIRIDIS,,,,,0.456,,,5.2525,10.46681531,,,0.320746666,,,41.57111916,,0.36446,,,"Diam, RTD, SRL from Groot",,,,
ASPERULA ARISTATA,Accepted,ASPERULA ARISTATA,,,,,,,,0.74,,,,,,,,,,,,,,,,
ASPERULA CYNANCHICA,Accepted,ASPERULA CYNANCHICA,,18.4,,,0.284375,,,0.848,27.91666667,,,,,0.323386667,,,,,,,,,,
ASPERULA GUNNII,Accepted,ASPERULA GUNNII,,,,,,,,,,,,,,,,,,,,,,,,
ASTER SQUAMATUS,Accepted,ASTER SQUAMATUS,,,,,0.3,,,0.114166667,24.49096986,0.304,,,,,,,,,,,,,,
ASTEROLASIA TRYMALIOIDES,Accepted,ASTEROLASIA TRYMALIOIDES,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAGALUS AGRESTIS,Accepted,ASTRAGALUS AGRESTIS,,,,,0.3048,,,3.774154589,,,0.254,,,,,,,,,,,,,
ASTRAGALUS FLEXUOSUS,Accepted,ASTRAGALUS FLEXUOSUS,,,,,,,,1.575,,,,,,,,,,,,,,,,
ASTRAGALUS LAXMANNII,Accepted,ASTRAGALUS LAXMANNII,,,,,,,,1.506666667,13.514,,,,,,,,,,,,,,,
ASTRAGALUS MISER,Accepted,ASTRAGALUS MISER,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAGALUS MISSOURIENSIS,Accepted,ASTRAGALUS MISSOURIENSIS,,,,,,,,3.46,13.70899179,,,330.9166626,3.66E-07,,,0.005704636,0.26,,,"SLA, RTD,fineRTD,SRL,root Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,
ASTRAGALUS NUTTALLIANUS,Accepted,ASTRAGALUS NUTTALLIANUS,,,,,,,,1.3,20.29476228,,,63.11503515,6.01E-07,,,0.00095305,0.2,,,"SLA, RTD,fineRTD,SRL,root Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,
ASTRANTIA MAJOR,Accepted,ASTRANTIA MAJOR,,10612.64833,444.67,28.539,0.4215,,,3.11,22.75909384,,,,,0.173901667,,,,,,,,,,
ASTREBLA LAPPACEA,Accepted,ASTREBLA LAPPACEA,,155.1498,,,0.65,,,2.88,11.43619445,,,,,,,,,,,,,,,
ASTREBLA PECTINATA,Accepted,ASTREBLA PECTINATA,,,,,,,,2.847666667,,,,,,,,,,,,,,,,
ASTROLOMA HUMIFUSUM,Accepted,ASTROLOMA HUMIFUSUM,,7.322,,,0.1,,,61.56,7.958695652,,,,,,,,,,,,,,,
AVENA BARBATA,Accepted,AVENA BARBATA,,119,389,17,0.389,,,8.237367738,25.674375,0.18115,,0.02363125,,0.255333333,149,,0.373688235,,,"Diam, RTD, SLR, thickness from Justin",,,,
AVENELLA FLEXUOSA,Synonym,Deschampsia flexuosa,"synonym already list, at same general site Lydra Intermediate and Lydra Old",,,,,,,,,,,,,,,,,,,,,,,
AXONOPUS AUREUS,Accepted,AXONOPUS AUREUS,,,,,,,,,,,,,,,,,,,,,,,,
AXONOPUS FISSIFOLIUS,Accepted,AXONOPUS FISSIFOLIUS,,,,,0.07836831,,,0.3705,,0.167985612,,,,,,,,,,,,,,
AXYRIS AMARANTHOIDES,Accepted,AXYRIS AMARANTHOIDES,,,,,1.2,,,1.32,,,,,,,,,,,,,,,,
AZORELLA FUEGIANA,Accepted,AZORELLA FUEGIANA,,,,,,,,,,,,,,,,,,,,,,,,
AZORELLA MONANTHA,Accepted,AZORELLA MONANTHA,,,,,,,,,,,,,,,,,,,,,,,,
BACCHARIS GILLIESII,Accepted,BACCHARIS GILLIESII,,,,,,,,,,,,,,,,,,,,,,,,
BACCHARIS PINGRAEA,Accepted,BACCHARIS PINGRAEA,,,,,,,,,,,,,,,,,,,,,,,,
BACCHARIS ULICINA,Accepted,BACCHARIS ULICINA,,,,,,,,,,0.22,,,,,,,,,,,,,,
BAPTISIA ALBA,Accepted,BAPTISIA ALBA,,,,22.3,0.972,,,16.1,22.05414615,,,0.143056646,,0.248328025,146.141189,,0.309371429,,,"Diam, RTD, SRL from groot",,,,
BAPTISIA BRACTEATA,Accepted,BAPTISIA BRACTEATA,,,,,,,,,,,2.032,,,,,,,,,depth from groot,,,,
BASSIA LANIFLORA,Accepted,BASSIA LANIFLORA,,,,,0.25,,,,,,,,,,,,,,,,,,,
BASSIA SCOPARIA,Accepted,BASSIA SCOPARIA,,99.0625,,32.45,1.184444444,,,1.09664,19.65690846,0.264,,,,0.194348,,,,,,,,,,
BELLIS PERENNIS,Accepted,BELLIS PERENNIS,,359,384.8713864,9.192071886,0.1025,,,0.136985185,31.2875,,,0.130088142,,0.1135,324.9590331,,0.243322583,,,"Diam, RootC and N, RTD,SRL from groot",,,,
BERBERIS NERVOSA,Unresolved,,synonym: Mahonia nervosa,,,,0.6096,,,17.90885822,,,0.4064,,,,,,,,,,,,,
BETULA PENDULA,Accepted,BETULA PENDULA,,1181.105556,499.75,24.7363717,20.42708333,363.5,9.9,0.291500861,18.17513615,0.1841338,0.6096,0.2543,,0.349800671,62.22003608,,0.2899,,,"RootC, RTD, Diam, SRL from groot",,,,
BLENNOSPORA DRUMMONDII,Accepted,BLENNOSPORA DRUMMONDII,,,,,,,,,,,,,,,,,,,,,,,,
BLEPHARIPAPPUS SCABER,Accepted,BLEPHARIPAPPUS SCABER,,,,,,,,1.03,,,,,,,,,,,,,,,,
BOERHAVIA DIFFUSA,Accepted,BOERHAVIA DIFFUSA,,,,,,,,2.327,,,,,,,,,,,,,,,,
BOERHAVIA SPICATA,Accepted,BOERHAVIA SPICATA,,,,,,,,1.37,,,,,,,,,,,,,,,,
BOTHRIOCHLOA LAGUROIDES,Accepted,BOTHRIOCHLOA LAGUROIDES,,,,,,,,0.56,,,,,,,,,,,,,,,,
BOUTELOUA ARISTIDOIDES,Accepted,BOUTELOUA ARISTIDOIDES,,,,15.9,,,,0.895,12.89,,,,,,,,,,,,,,,
BOUTELOUA CURTIPENDULA,Accepted,BOUTELOUA CURTIPENDULA,,,,15,0.682104762,385.4800034,13.6452491,1.754335036,18.17607803,,0.3048,205.5003543,1.08E-06,0.525176059,108.473243,0.007539553,0.056,,,"RTD,fineRTD,SRL,rootDiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","SRL, RootC and N from Groot",,,
BOUTELOUA GRACILIS,Synonym,Chondrosum gracile,"synonym already list, at different sites",,,13.23705157,0.3048,437.1142044,15.41407303,0.483068356,19.7,0.053,0.4064,0.447182567,,,37.16114462,,0.192729167,,,"RootC and N, RTD, SRL, Diam from Groot",rootDiam from Justin,,,
BRACHIARIA PAUCISPICATA,Accepted,BRACHIARIA PAUCISPICATA,,,,,,,,,,,,,,,,,,,,,,,,
BRACHIARIA SERRATA,Accepted,BRACHIARIA SERRATA,,,,,,,,,,,,,,,,,,,,,,,,
BRACHYPODIUM DISTACHYON,Accepted,BRACHYPODIUM DISTACHYON,,,,,0.1005,,,3.264391892,30.85889908,0.21368,,,,,,,,,,,,,,
BRACHYPODIUM PINNATUM,Accepted,BRACHYPODIUM PINNATUM,,1898,458.9566667,18.10766667,0.540866667,407.9,7.10106212,2.925156667,23.9927357,0.131,,0.186379697,,0.362333333,207.6695041,,0.22129993,,,"RootC and N, RTD, SRL, Diam from Groot",,,,
BRACHYPODIUM RETUSUM,Accepted,BRACHYPODIUM RETUSUM,,,,7.1,0.4,,,3.1587,12.40924826,0.4,,,,,,,,,,,,,,
BRACHYSCOME DECIPIENS,Accepted,BRACHYSCOME DECIPIENS,,,,,,,,,,,,,,,,,,,,,,,,
BRACHYSCOME PERPUSILLA,Accepted,BRACHYSCOME PERPUSILLA,,,,,,,,,,,,,,,,,,,,,,,,
BRIZA MAXIMA,Accepted,BRIZA MAXIMA,,,,10.2,0.6096,,,3.341682971,68.9,,0.254,,,,,,,,,,,,,
BRIZA MEDIA,Accepted,BRIZA MEDIA,,644,471.8566667,19.10016667,0.41946,394.2,2.042559524,0.363485185,20.92775774,0.14667,,0.179667951,,0.294116667,288.6987236,,0.171363333,,0.515,"RootC and N, RTD, SRL, Diam from Groot",,,,
BRIZA MINOR,Accepted,BRIZA MINOR,,,,,,,,0.3085,,,,,,,,,,,,,,,,
BRIZA SUBARISTATA,Accepted,BRIZA SUBARISTATA,,,,,,,,,,,,,,,,,,,,,,,,
BROMUS CATHARTICUS,Accepted,BROMUS CATHARTICUS,,,,,0.9572,,4.9,9.006024135,35,,0.3048,0.079079135,,,129.3385704,,0.30525,,,"Root N, RTD, SRL, Diam from groot",,,,
BROMUS DIANDRUS,Accepted,BROMUS DIANDRUS,,,,,,,,11.21666667,39,,,,,0.289,,,,,,,,,,
BROMUS ERECTUS,Accepted,BROMUS ERECTUS,,595.375,421,18.81892435,0.717333333,365.9310674,7.243150315,3.820615152,21.09580137,,0.894,0.174709631,,0.312719258,157.1212818,,0.273789089,,,"RootC and N, depth, RTD, SRL, Diam, from groot",,,,
BROMUS HORDEACEUS,Accepted,BROMUS HORDEACEUS,,250.75,421.1,25.57289667,0.6899,398.7,10.2,2.302186894,27.25455017,0.166,0.254,0.137083333,,0.289967778,471.2364007,,0.2,,0.307,RTD and SRL from Groot,,,,
BROMUS INERMIS,Accepted,BROMUS INERMIS,,1924.291667,450.6212311,21.49936399,0.76518,378.2,17.20145333,2.963723205,17.7899321,,0.3048,0.268601793,,0.380989092,108.7724975,,0.281416667,34.0853548,0.152911037,"RootC and N, RTD, SRL, Diam, from groot",,,,
BROMUS JAPONICUS,Accepted,BROMUS JAPONICUS,,396.8,,,0.424044444,,,2.18925,19.31803729,0.2375,1.5,,,0.287296667,,,,,,depth from groot,,,,
BROMUS RUBENS,Accepted,BROMUS RUBENS,,,,,0.39624,,,2.347431522,,,0.2032,,,,,,,,,,,,,
BROMUS SETIFOLIUS,Accepted,BROMUS SETIFOLIUS,,,,,,,,6.955833333,,0.271666667,,,,,,,,,,,,,,
BROMUS STERILIS,Accepted,BROMUS STERILIS,,467.3333333,,27.9,0.658333333,,,7.269666667,30.5349098,0.148666667,1.5,,,0.23075,,,,,,depth from groot,,,,
BROMUS TECTORUM,Accepted,BROMUS TECTORUM,,492.4930367,,,0.53975,416.2256622,7.006735802,2.667925682,25.60655894,0.162,0.90288,,,0.152666667,31.20434302,,,,,"RootC and N, depth RTD from groot",,,,
BUCHLOE DACTYLOIDES,Accepted,BUCHLOE DACTYLOIDES,,,,,,,15.93328833,,,,1.8542,,,,110.5,,,,,"RootN, depth, SRL from groot",,,,
